seed,method,n_replicas,wasserstein2,mode_weight_error_tv,mode_occupancy_entropy_normalized,mmd2_rbf,num_discovered_modes,num_true_modes,precision_at_k,recall_at_k,mean_pairwise_distance
1,steer,6,4.107209599053116,0.8945903200613895,0.964840476490521,0.7451357777592524,20,20,0.844,0.996,2.554991287213581
1,tsr,1,4.4342962603528875,0.9335903200613894,0.9148769861804791,0.8228770038582134,20,20,0.934,0.99,2.4537196003061856
1,cns,1,4.5102186459164315,0.9365903200613894,0.9595661013375254,0.8691846519084941,20,20,0.926,0.996,2.3459420546672503
50,steer,6,4.091286226872306,0.8955903200613895,0.9578904700181744,0.7735994735698334,20,20,0.852,0.992,2.5008283677352234
50,tsr,1,4.495958422548649,0.9335903200613894,0.9282005284182311,0.879670952626697,20,20,0.926,0.988,2.4135519916301043
50,cns,1,4.546770477939351,0.9345903200613894,0.9567337127704276,0.9123595521980421,20,20,0.89,0.994,2.284384014318597
100,steer,6,4.143370039871896,0.8945903200613896,0.9597114196814214,0.7758028395789344,20,20,0.9,0.996,2.56128403950838
100,tsr,1,4.512661530730394,0.9385903200613894,0.9157621817120177,0.887251039577845,20,20,0.982,0.038,2.377886783232882
100,cns,1,4.557063849738114,0.9365903200613894,0.9502533223910403,0.9213890388406956,19,20,0.944,1.0,2.2618060205345785
150,steer,6,4.118670557268684,0.8875903200613895,0.9568305251224252,0.7531993293170736,20,20,0.894,0.99,2.5478851001106158
150,tsr,1,4.398051343895053,0.9315903200613895,0.926035160788345,0.857023789646917,20,20,0.984,0.984,2.4021150089200267
150,cns,1,4.367826576104147,0.9345903200613894,0.9654178733816066,0.871243366251929,20,20,0.936,0.992,2.31167703965811
200,steer,6,4.2942071440489284,0.8815903200613895,0.9644385956209556,0.8245085837256532,20,20,0.948,0.996,2.5182073963458476
200,tsr,1,4.549172959587024,0.9335903200613895,0.92528900347919,0.8936408055729299,20,20,0.994,0.998,2.4135220726548052
200,cns,1,4.557917693263903,0.9365903200613894,0.9580351045893031,0.9181962154894306,20,20,0.99,1.0,2.3321948543422155
